ID,Acronym,Hemisphere,"Sample Number
Brain 1","Sample Number
Brain 2",Structures represented with at least n=2 samples in both brains,Structures,,,,,,,,,
12896,S,,,,x,,,,,,,Subiculum,,,
4251,S,L,6,5,,,,,,,,,"subiculum, Left",,
4252,PrS,L,,,,,,,,,,,,"presubiculum, Left",
4253,PaS,L,,,,,,,,,,,,"parasubiculum, Left",
4260,S,R,6,4,,,,,,,,,"subiculum, Right",,
4261,PrS,R,,,,,,,,,,,,"presubiculum, Right",
4262,PaS,R,,,,,,,,,,,,"parasubiculum, Right",
4242,PHG,,,,,,,,,,parahippocampal gyrus,,,,
4243,PHG,L,,,,,,,,,,"parahippocampal gyrus, Left",,,
4244,PHG-l,L,3,2,x,,,,,,,,"parahippocampal gyrus, Left, lateral bank of gyrus",,
4245,PHG-cos,L,4,2,x,,,,,,,,"parahippocampal gyrus, Left, bank of the cos",,
4246,PHG,R,,,,,,,,,,"parahippocampal gyrus, Right",,,
4247,PHG-l,R,3,2,,,,,,,,,"parahippocampal gyrus, Right, lateral bank of gyrus",,
4248,PHG-cos,R,4,3,,,,,,,,,"parahippocampal gyrus, Right, bank of the cos",,
10142,Pir,,,,,,,,,,piriform cortex,,,,
10143,Pir,L,,,,,,,,,,"piriform cortex, left",,,
10144,Pir,R,,,,,,,,,,"piriform cortex, right",,,
4180,OL,,,,,,,,,Occipital Lobe,,,,,
4184,Cun,,,,,,,,,,cuneus,,,,
4185,Cun,L,,,,,,,,,,"cuneus, Left",,,
4186,Cun-pest,L,1,3,x,,,,,,,,"cuneus, Left, peristriate",,
4187,Cun-str,L,1,2,,,,,,,,,"cuneus, Left, striate",,
4188,Cun,R,,,,,,,,,,"cuneus, Right",,,
4189,Cun-pest,R,1,1,,,,,,,,,"cuneus, Right, peristriate",,
4190,Cun-str,R,1,2,x,,,,,,,,"cuneus, Right, striate",,
4205,IOG,,,,,,,,,,inferior occipital gyrus,,,,
4206,IOG,L,,,,,,,,,,"inferior occipital gyrus, Left",,,
4207,IOG-s,L,,2,,,,,,,,,"inferior occipital gyrus, Left, superior bank of gyrus",,
4208,IOG-i,L,,3,,,,,,,,,"inferior occipital gyrus, Left, inferior bank of gyrus",,
4209,IOG,R,,,,,,,,,,"inferior occipital gyrus, Right",,,
4210,IOG-s,R,,1,,,,,,,,,"inferior occipital gyrus, Right, superior bank of gyrus",,
4211,IOG-i,R,,3,,,,,,,,,"inferior occipital gyrus, Right, inferior bank of gyrus",,
4191,LiG,,,,,,,,,,lingual gyrus,,,,
4192,LiG,L,,,,,,,,,,"lingual gyrus, Left",,,
4193,LiG-pest,L,5,3,x,,,,,,,,"lingual gyrus, Left, peristriate",,
4194,LiG-str,L,2,4,x,,,,,,,,"lingual gyrus, Left, striate",,
4195,LiG,R,,,,,,,,,,"lingual gyrus, Right",,,
4196,LiG-pest,R,3,4,,,,,,,,,"lingual gyrus, Right, peristriate",,
4197,LiG-str,R,4,3,,,,,,,,,"lingual gyrus, Right, striate",,
4181,OP,,,,,,,,,,occipital pole,,,,
4182,OP,L,,,,,,,,,,"occipital pole, Left",,,
4909,OPs,L,,,,,,,,,,,"occipital pole, Left, superior aspect",,
4910,OPi,L,,,,,,,,,,,"occipital pole, Left, inferior aspect",,
4911,OPl,L,,,,,,,,,,,"occipital pole, Left, lateral aspect",,
4183,OP,R,,,,,,,,,,"occipital pole, Right",,,
4912,OPs,R,,,,,,,,,,,"occipital pole, Right, superior aspect",,
4913,OPi,R,,,,,,,,,,,"occipital pole, Right, inferior aspect",,
4914,OPl,R,,,,,,,,,,,"occipital pole, Right, lateral aspect",,
4198,OTG,,,,,,,,,,occipito-temporal gyrus,,,,
4199,OTG,L,,,,,,,,,,"occipito-temporal gyrus, Left",,,
4200,OTG-s,L,3,1,x,,,,,,,,"occipito-temporal gyrus, Left, superior bank of gyrus",,
4201,OTG-i,L,3,1,x,,,,,,,,"occipito-temporal gyrus, Left, inferior bank of gyrus",,
4202,OTG,R,,,,,,,,,,"occipito-temporal gyrus, Right",,,
4203,OTG-s,R,2,2,,,,,,,,,"occipito-temporal gyrus, Right, superior bank of gyrus",,
4204,OTG-i,R,2,3,,,,,,,,,"occipito-temporal gyrus, Right, inferior bank of gyrus",,
4212,SOG,,,,,,,,,,superior occipital gyrus,,,,
4213,SOG,L,,,,,,,,,,"superior occipital gyrus, Left",,,
4214,SOG-s,L,1,2,x,,,,,,,,"superior occipital gyrus, Left, superior bank of gyrus",,
4215,SOG-i,L,,2,,,,,,,,,"superior occipital gyrus, Left, inferior bank of gyrus",,
4216,SOG,R,,,,,,,,,,"superior occipital gyrus, Right",,,
4217,SOG-s,R,1,2,,,,,,,,,"superior occipital gyrus, Right, superior bank of gyrus",,
4218,SOG-i,R,,1,,,,,,,,,"superior occipital gyrus, Right, inferior bank of gyrus",,
4084,PL,,,,,,,,,Parietal Lobe,,,,,
4103,IPL,,,,,,,,,,inferior parietal lobule,,,,
4111,AnG,,,,,,,,,,,angular gyrus,,,
4112,AnG,L,,,,,,,,,,,"angular gyrus, Left",,
4113,AnG-s,L,3,2,x,,,,,,,,,"angular gyrus, Left, superior bank of gyrus",
4114,AnG-i,L,2,2,x,,,,,,,,,"angular gyrus, Left, inferior bank of gyrus",
4115,AnG,R,,,,,,,,,,,"angular gyrus, Right",,
4116,AnG-s,R,2,2,,,,,,,,,,"angular gyrus, Right, superior bank of gyrus",
4117,AnG-i,R,2,3,,,,,,,,,,"angular gyrus, Right, inferior bank of gyrus",
4104,SMG,,,,,,,,,,,supramarginal gyrus,,,
4105,SMG,L,,,,,,,,,,,"supramarginal gyrus, Left",,
4106,SMG-s,L,3,1,x,,,,,,,,,"supramarginal gyrus, Left, superior bank of gyrus",
4107,SMG-i,L,5,2,x,,,,,,,,,"supramarginal gyrus, Left, inferior bank of gyrus",
4108,SMG,R,,,,,,,,,,,"supramarginal gyrus, Right",,
4109,SMG-s,R,3,2,,,,,,,,,,"supramarginal gyrus, Right, superior bank of gyrus",
4110,SMG-i,R,4,2,,,,,,,,,,"supramarginal gyrus, Right, inferior bank of gyrus",
4125,PCLp,,,,,,,,,,"paracentral lobule, posterior part",,,,
4126,PCLp,L,,,,,,,,,,"paracentral lobule, posterior part, Left",,,
4127,PCLp-l,L,,,,,,,,,,,"paracentral lobule, posterior part, Left, lateral bank of gyrus",,
4128,PCLp-cs,L,,,,,,,,,,,"paracentral lobule, posterior part, Left, bank of cingulate sulcus",,
4129,PCLp,R,,,,,,,,,,"paracentral lobule, posterior part, Right",,,
4130,PCLp-l,R,2,,,,,,,,,,"paracentral lobule, posterior part, Right, lateral bank of gyrus",,
4131,PCLp-cs,R,1,,,,,,,,,,"paracentral lobule, posterior part, Right, bank of cingulate sulcus",,
4085,PoG,,,,,,,,,,postcentral gyrus,,,,
4086,PoG,L,,,,,,,,,,"postcentral gyrus, Left",,,
4087,PoG-cs,L,4,3,x,,,,,,,,"postcentral gyrus, Left, bank of the central sulcus",,
4088,PoG-sl,L,2,4,x,,,,,,,,"postcentral gyrus, Left, superior lateral aspect of gyrus",,
4089,PoG-il,L,2,3,x,,,,,,,,"postcentral gyrus, Left, inferior lateral aspect of gyrus",,
4090,PoG-pcs,L,3,2,x,,,,,,,,"postcentral gyrus, Left, bank of the posterior central sulcus",,
4091,PoG,R,,,,,,,,,,"postcentral gyrus, Right",,,
4092,PoG-cs,R,4,3,,,,,,,,,"postcentral gyrus, Right, bank of the central sulcus",,
4093,PoG-sl,R,4,4,,,,,,,,,"postcentral gyrus, Right, superior lateral aspect of gyrus",,
4094,PoG-il,R,5,2,,,,,,,,,"postcentral gyrus, Right, inferior lateral aspect of gyrus",,
4095,PoG-pcs,R,2,1,,,,,,,,,"postcentral gyrus, Right, bank of the posterior central sulcus",,
4118,PCu,,,,,,,,,,precuneus,,,,
4119,PCu,L,,,,,,,,,,"precuneus, Left",,,
4120,Pcu-s,L,2,1,x,,,,,,,,"precuneus, Left,  superior lateral bank of gyrus",,
4121,Pcu-i,L,3,2,x,,,,,,,,"precuneus, Left, inferior lateral bank of gyrus",,
4122,PCu,R,,,,,,,,,,"precuneus, Right",,,
4123,Pcu-s,R,3,2,,,,,,,,,"precuneus, Right, superior lateral bank of gyrus",,
4124,Pcu-i,R,3,2,,,,,,,,,"precuneus, Right,  inferior lateral bank of gyrus",,
4096,SPL,,,,,,,,,,supraparietal lobule,,,,
4097,SPL,L,,,,,,,,,,"supraparietal lobule, Left",,,
4098,SPL-s,L,2,2,x,,,,,,,,"supraparietal lobule, Left, superior bank of gyrus",,
4099,SPL-i,L,2,2,x,,,,,,,,"supraparietal lobule, Left, inferior bank of gyrus",,
4100,SPL,R,,,,,,,,,,"supraparietal lobule, Right",,,
4101,SPL-s,R,3,3,,,,,,,,,"supraparietal lobule, Right, superior bank of gyrus",,
4102,SPL-i,R,1,3,,,,,,,,,"supraparietal lobule, Right, inferior bank of gyrus",,
4132,TL,,,,,,,,,Temporal Lobe,,,,,
4156,FuG,,,,,,,,,,fusiform gyrus,,,,
4157,FuG,L,,,,,,,,,,"fusiform gyrus, Left",,,
4158,FuG-its,L,3,3,,,,,,,,,"fusiform gyrus, Left, bank of the its",,
4159,FuG-l,L,4,2,,,,,,,,,"fusiform gyrus, Left, lateral bank of gyrus",,
4160,FuG-cos,L,4,1,,,,,,,,,"fusiform gyrus, Left, bank of cos",,
4161,FuG,R,,,,,,,,,,"fusiform gyrus, Right",,,
4162,FuG-its,R,5,3,x,,,,,,,,"fusiform gyrus, Right, bank of the its",,
4163,FuG-l,R,4,1,x,,,,,,,,"fusiform gyrus, Right, lateral bank of gyrus",,
4164,FuG-cos,R,4,2,x,,,,,,,,"fusiform gyrus, Right, bank of cos",,
4165,HG,,,,x,,,,,,Heschl's gyrus,,,,
4166,HG,L,3,2,,,,,,,,"Heschl's gyrus, Left",,,
4167,HG,R,4,1,,,,,,,,"Heschl's gyrus, Right",,,
