ID,Acronym,Hemisphere,"Sample Number
Brain 1","Sample Number
Brain 2",Structures represented with at least n=2 samples in both brains,Structures,,,,,,,,,
4425,VPL,L,,,,,,,,,,,,"ventral posterior lateral nucleus of Thalamus, Left",
4424,VPM,L,,,,,,,,,,,,"ventral posterior medial nucleus of Thalamus, Left",
4472,DTLv,R,7,5,,,,,,,,,"Lateral group of Nuclei, Right, Ventral division",,
4482,VMb,R,,,,,,,,,,,,"Basal ventral medial nucleus of Thalamus, Right",
4473,VA,R,,,,,,,,,,,,"Ventral Anterior Nucleus of Thalamus, Right",
4475,VAmc,R,,,,,,,,,,,,,"Ventral Anterior Nucleus of Thalamus, Right, magnocellular division"
4474,VMp,R,,,,,,,,,,,,,"Ventral Anterior Nucleus of Thalamus, Right, principle division"
4477,VLa,R,,,,,,,,,,,,"Ventral lateral anterior nucleus of Thalamus, Right",
4478,VLp,R,,,,,,,,,,,,"Ventral lateral posterior nucleus of Thalamus, Right",
4476,VM,R,,,,,,,,,,,,"Ventral Medial Nucleus of Thalamus, Right",
4481,VPI,R,,,,,,,,,,,,"Ventral posterior inferior nucleus of Thalamus, Right",
4480,VPL,R,,,,,,,,,,,,"ventral posterior lateral nucleus of Thalamus, Right",
4479,VPM,R,,,,,,,,,,,,"ventral posterior medial nucleus of Thalamus, Right",
12926,MG,,,,at least n=1 per structure both brains,,,,,,Medial Geniculate Complex,,,,
4444,MG,L,1,,,,,,,,,"Medial Geniculate Complex, Left",,,
4446,MGad,L,,,,,,,,,,,"Anterodorsal Nucleus of Medial Geniculate Complex, Left",,
4448,MGmc,L,,,,,,,,,,,"Magnocellular Nucleus of Medial Geniculate Complex, Left",,
4447,MGpd,L,,,,,,,,,,,"Posterodorsal nucleus of Medial Geniculate Complex, Left",,
4445,MGv,L,,,,,,,,,,,"Ventral Nucleus of Medial Geniculate Complex, Left",,
4499,MG,R,,2,,,,,,,,"Medial Geniculate Complex, Right",,,
4501,MGad,R,,,,,,,,,,,"Anterodorsal Nucleus of Medial Geniculate Complex, Right",,
4503,MGmc,R,,,,,,,,,,,"Magnocellular Nucleus of Medial Geniculate Complex, Right",,
4502,MGpd,R,,,,,,,,,,,"Posterodorsal nucleus of Medial Geniculate Complex, Right",,
4500,MGv,R,,,,,,,,,,,"Ventral Nucleus of Medial Geniculate Complex, Right",,
12927,DTM,,,,x,,,,,,Medial Group of Nuclei,,,,
4400,DTM,L,4,5,,,,,,,,"Medial Group of Nuclei, Left",,,
4401,MD,L,,,,,,,,,,,"Mediodorsal nucleus of Thalamus, Left",,
4402,MDp,L,,,,,,,,,,,,"Mediodorsal nucleus of Thalamus, Left, parvocellular division",
4403,MDm,L,,,,,,,,,,,,"Mediodorsal nucleus of Thalamus, Left, magnocellular division",
4404,MDd,L,,,,,,,,,,,,"Mediodorsal nucleus of Thalamus, Left, densocelllular division",
4407,MV,L,,,,,,,,,,,"Medioventral Nucleus of Thalamus, Left",,
4405,Pt,L,,,,,,,,,,,"Parataenial Nucleus of Thalamus, Left",,
4406,Sm,L,,,,,,,,,,,"Submedial Nucleus of Thalamus, Left",,
4455,DTM,R,4,4,,,,,,,,"Medial Group of Nuclei, Right",,,
4456,MD,R,,,,,,,,,,,"Mediodorsal nucleus of Thalamus, Right",,
4457,MDp,R,,,,,,,,,,,,"Mediodorsal nucleus of Thalamus, Right, parvocellular division",
4458,MDm,R,,,,,,,,,,,,"Mediodorsal nucleus of Thalamus, Right, magnocellular division",
4459,MDd,R,,,,,,,,,,,,"Mediodorsal nucleus of Thalamus, Right, densocelllular division",
4462,MV,R,,,,,,,,,,,"Medioventral Nucleus of Thalamus, Right",,
4460,Pt,R,,,,,,,,,,,"Parataenial Nucleus of Thalamus, Right",,
4461,Sm,R,,,,,,,,,,,"Submedial Nucleus of Thalamus, Right",,
12928,DTP,,,,x,,,,,,Posterior Group of Nuclei,,,,
4428,DTP,L,1,,,,,,,,,"Posterior Group of Nuclei, Left",,,
4429,L,L,,,,,,,,,,,"Limitans Nucleus of Thalamus, Left",,
4431,Po,L,,,,,,,,,,,"Posterior Nucleus of Thalamus, Left",,
4430,SG,L,,,,,,,,,,,"Suprageniculate nucleus of Thalamus, Left",,
4483,DTP,R,1,2,,,,,,,,"Posterior Group of Nuclei, Right",,,
4484,L,R,,,,,,,,,,,"Limitans Nucleus of Thalamus, Right",,
4486,Po,R,,,,,,,,,,,"Posterior Nucleus of Thalamus, Right",,
4485,SG,R,,,,,,,,,,,"Suprageniculate nucleus of Thalamus, Right",,
12929,ILr,,,,x,,,,,,Rostral Group of Intralaminar Nuclei,,,,
4432,ILr,L,3,3,,,,,,,,"Rostral Group of intralaminar Nuclei, Left",,,
4434,CL,L,,,,,,,,,,,"Central lateral nucleus of the Thalamus, Left",,
4436,CeM,L,,,,,,,,,,,"Central Medial nucleus of Thalamus, Left",,
4435,Pc,L,,,,,,,,,,,"Paracentral Nucleus of Thalamus, Left",,
4433,Rh,L,,,,,,,,,,,"Rhomboid Nucleus of Thalamus, Left",,
4487,ILr,R,4,3,,,,,,,,"Rostral Group of intralaminar Nuclei, Right",,,
4489,CL,R,,,,,,,,,,,"Central lateral nucleus of the Thalamus, Right",,
4491,CeM,R,,,,,,,,,,,"Central Medial nucleus of Thalamus, Right",,
4490,Pc,R,,,,,,,,,,,"Paracentral Nucleus of Thalamus, Right",,
4488,Rh,R,,,,,,,,,,,"Rhomboid Nucleus of Thalamus, Right",,
4504,VT,,,,,,,,,Ventral Thalamus,,,,,
4505,VT,L,,,,,,,,,"Ventral Thalamus, Left",,,,
4510,LF,L,,,,,,,,,,"Lenticular fasciculus, Left",,,
4508,FF,L,,,,,,,,,,"Nucleus of the H field of Forel, Left",,,
4506,R,L,2,3,x,,,,,,,"Reticular Nucleus of Thalamus, Left",,,
4509,TF,L,,,,,,,,,,"Thalamic fasciculus, Left",,,
4507,ZI,L,1,2,x,,,,,,,"Zona Incerta, Left",,,
4511,VT,R,,,,,,,,,"Ventral Thalamus, Right",,,,
4516,LF,R,,,,,,,,,,"Lenticular fasciculus, Right",,,
4514,FF,R,,,,,,,,,,"Nucleus of the H field of Forel, Right",,,
4512,R,R,3,4,,,,,,,,"Reticular Nucleus of Thalamus, Right",,,
4515,TF,R,,,,,,,,,,"Thalamic fasciculus, Right",,,
4513,ZI,R,1,1,,,,,,,,"Zona Incerta, Right",,,
9001,MES,,,,,,,Mesencephalon,,,,,,,
9101,Tec,,,,,,,,Midbrain Tectum,,,,,,
9102,IC,,,,,,,,,Inferior Colliculus,,,,,
9103,IC,L,,2,,,,,,,"Inferior Colliculus, Left",,,,
9104,CIC,L,,,,,,,,,,"central nucleus of inferior colliculus, Left",,,
9105,EIC,L,,,,,,,,,,"external nucleus of inferior colliculus, Left",,,
9106,PCIC,L,,,,,,,,,,"pericentral nucleus of inferior colliculus, Left",,,
9107,IC,R,,,,,,,,,"Inferior Colliculus, Right",,,,
9108,CIC,R,,,,,,,,,,"central nucleus of inferior colliculus, Right",,,
9109,EIC,R,,,,,,,,,,"external nucleus of inferior colliculus, Right",,,
9110,PCIC,R,,,,,,,,,,"pericentral nucleus of inferior colliculus, Right",,,
9480,ICN,,,,,,,,,intercollicular nucleus,,,,,
9481,ICN,L,,,,,,,,,"intercollicular nucleus, Left",,,,
9482,ICN,R,,,,,,,,,"intercollicular nucleus, Right",,,,
9483,BrC,,,,,,,,,nucleus of the brachium of the inferior colliculus,,,,,
9484,BrC,L,,,,,,,,,"nucleus of the brachium of the inferior colliculus, left",,,,
9485,BrC,R,,,,,,,,,"nucleus of the brachium of the inferior colliculus, Right",,,,
9111,PBG,,,,,,,,,parabigeminal nucleus,,,,,
9112,PBG,L,,,,,,,,,"parabigeminal nucleus, Left",,,,
9113,PBG,R,,,,,,,,,"parabigeminal nucleus, Right",,,,
9114,SC,,,,at least n=1 per structure both brains,,,,,Superior Colliculus,,,,,
9115,SC,L,1,1,,,,,,,"Superior Colliculus, Left",,,,
9116,StL,L,,,,,,,,,,"Stratum Lemnisci of Superior Colliculus, Left",,,
9117,DpG,L,,,,,,,,,,,"deep grey layer of superior colliculus, Left",,
9118,DpWh,L,,,,,,,,,,,"deep white layer of superior colliculus, Left",,
9119,MGr,L,,,,,,,,,,,"middle grey layer of superior colliculus, Left",,
9120,MWh,L,,,,,,,,,,,"middle white layer of superior colliculus, Left",,
9121,SuG,L,,,,,,,,,,"Superficial grey layer of superior colliculus, Left",,,
9122,SuWh,L,,,,,,,,,,"Superficial white layer of superior colliculus, Left",,,
9123,SC,R,,1,,,,,,,"Superior Colliculus, Right",,,,
9124,StL,R,,,,,,,,,,"Stratum Lemnisci of Superior Colliculus, Right",,,
9125,DpG,R,,,,,,,,,,,"deep grey layer of superior colliculus, Right",,
9126,DpWh,R,,,,,,,,,,,"deep white layer of superior colliculus, Right",,
9127,MGr,R,,,,,,,,,,,"middle grey layer of superior colliculus, Right",,
9128,MWh,R,,,,,,,,,,,"middle white layer of superior colliculus, Right",,
9129,SuG,R,,,,,,,,,,"Superficial grey layer of superior colliculus, Right",,,
9130,SuWh,R,,,,,,,,,,"Superficial white layer of superior colliculus, Right",,,
9486,Sag,,,,,,,,,sagulum nucleus,,,,,
9487,Sag,L,,,,,,,,,"sagulum nucleus, Left",,,,
9488,Sag,R,,,,,,,,,"sagulum, nucleus, Right",,,,
9489,SCO,,,,,,,,,subcommissural organ,,,,,
9490,SCO,L,,,,,,,,,"subcommissural organ, Left",,,,
9491,SCO,R,,,,,,,,,"subcommissural organ, Right",,,,
9002,MTg,,,,,,,,Midbrain Tegmentum,,,,,,
9003,CGMB,,,,x,,,,,central grey substance of midbrain,,,,,
9004,CGMB,L,6,4,,,,,,,"central grey substance of midbrain, Left",,,,
9440,CGMBdl,L,,,,,,,,,,"central grey substance of midbrain, Left, dorsolateral division",,,
9439,CGMBdm,L,,,,,,,,,,"central grey substance of midbrain, Left, dorsomedial division",,,
9441,CGMBl,L,,,,,,,,,,"central grey substance of midbrain, Left, lateral division",,,
9443,CGMBpl,L,,,,,,,,,,"central grey substance of midbrain, Left, pleioglial division",,,
9442,CGMBvl,L,,,,,,,,,,"central grey substance of midbrain, Left, ventrolateral division",,,
9005,CGMB,R,5,3,,,,,,,"central grey substance of midbrain, Right",,,,
9445,CGMBdl,R,,,,,,,,,,"central grey substance of midbrain, Right, dorsolateral division",,,
9444,CGMBdm,R,,,,,,,,,,"central grey substance of midbrain, Right, dorsomedial division",,,
9446,CGMBl,R,,,,,,,,,,"central grey substance of midbrain, Right, lateral division",,,
9448,CGMBpl,R,,,,,,,,,,"central grey substance of midbrain, Right, pleioglial division",,,
9447,CGMBvl,R,,,,,,,,,,"central grey substance of midbrain, Right, ventrolateral division",,,
9449,EW,,,,,,,,,Edinger Westphal nucleus,,,,,
9450,EW,L,,1,,,,,,,"Edinger Westphal nucleus, Left",,,,
9451,EW,R,,1,,,,,,,"Edinger Westphal nucleus, Right",,,,
9012,IP,,,,,,,,,interpeduncular nucleus,,,,,
9013,IP,L,,,,,,,,,"interpeduncular nucleus, Left",,,,
9014,IP,R,,,,,,,,,"interpeduncular nucleus, Right",,,,
9015,ICjl,,,,,,,,,interstitial nucleus of Cajal,,,,,
9016,ICjl,L,,1,,,,,,,"interstitial nucleus of Cajal, Left",,,,
9017,ICjl,R,,1,,,,,,,"interstitial nucleus of Cajal, Right",,,,
9452,LDTg,,,,,,,,,lateral dorsal tegmental nucleus,,,,,
9453,LDTg,L,,,,,,,,,"lateral dorsal tegmental nucleus, Left",,,,
9454,LDTg,R,,,,,,,,,"lateral dorsal tegmental nucleus, Right",,,,
9455,MBRa,,3,4,x,,,,,Midbrain Raphe Nuclei,,,,,
9456,MBRa,L,,,,,,,,,"Midbrain Raphe Nuclei, Left",,,,
9457,DR,L,,,,,,,,,,"Dorsal Raphe nucleus, Left",,,
9458,DRD,L,,,,,,,,,,,"Dorsal Raphe nucleus, Left, dorsal part",,
9459,DRI,L,,,,,,,,,,,"Dorsal Raphe nucleus, Left, interfascicular part",,
9461,DRrc,L,,,,,,,,,,,"Dorsal Raphe nucleus, Left, Raphe cap",,
9460,DRV,L,,,,,,,,,,,"Dorsal Raphe nucleus, Left, ventral part",,
9462,MnR,L,,,,,,,,,,"Median Raphe, Left",,,
9463,MBRa,R,,,,,,,,,"Midbrain Raphe Nuclei, Right",,,,
9464,DR,R,,,,,,,,,,"Dorsal Raphe nucleus, Right",,,
9465,DRD,R,,,,,,,,,,,"Dorsal Raphe nucleus, Right, dorsal part",,
9466,DRI,R,,,,,,,,,,,"Dorsal Raphe nucleus, Right, interfascicular part",,
9468,DRrc,R,,,,,,,,,,,"Dorsal Raphe nucleus, Left, Raphe cap",,
9467,DRV,R,,,,,,,,,,,"Dorsal Raphe nucleus, Right, ventral part",,
9469,MnR,R,,,,,,,,,,"Median Raphe, Right",,,
9018,MBRF,,,,,,,,,Midbrain Reticular Formation,,,,,
9019,MBRF,L,,,,,,,,,"Midbrain Reticular Formation, Left",,,,
9020,CnF,L,,2,,,,,,,,"cuneiform nucleus, Left",,,
9021,PPTg,L,,,,,,,,,,"pedunculopontine tegmental nucleus, Left",,,
9022,SubCn,L,1,2,x,,,,,,,"subcuneiform nucleus, Left",,,
9023,MBRF,R,,,,,,,,,"Midbrain Reticular Formation, Right",,,,
9024,CnF,R,,2,,,,,,,,"cuneiform nucleus, Right",,,
9025,PPTg,R,,,,,,,,,,"pedunculopontine tegmental nucleus, Right",,,
9026,SubCn,R,1,2,,,,,,,,"subcuneiform nucleus, Right",,,
9047,Dk,,,,,,,,,nucleus of Darkschewitsch,,,,,
9048,Dk,L,,1,,,,,,,"nucleus of Darkschewitsch, Left",,,,
9049,Dk,R,,,,,,,,,"nucleus of Darkschewitsch, Right",,,,
9027,PCom,,,,,,,,,nucleus of posterior commissure,,,,,
9028,PCom,L,,,,,,,,,"nucleus of posterior commissure, Left",,,,
9029,PCom,R,,,,,,,,,"nucleus of posterior commissure, Right",,,,
9030,3,,,,x,,,,,Oculomotor Nuclear Complex,,,,,
9031,3,L,1,,,,,,,,"Oculomotor Nuclear Complex, Left",,,,
9032,AM3,L,,,,,,,,,,"anterior median oculomotor nucleus, Left",,,
9033,CC3,L,,,,,,,,,,"caudal central oculomotor nucleus, Left",,,
9034,C3,L,,,,,,,,,,"central oculomotor nucleus, Left",,,
9035,D3,L,,,,,,,,,,"dorsal oculomotor nucleus, Left",,,
9036,I3,L,,,,,,,,,,"intermediate oculomotor nucleus, Left",,,
9037,M3,L,,,,,,,,,,"medial oculomotor nucleus, Left",,,
9038,V3,L,,,,,,,,,,"ventral oculomotor nucleus, Left",,,
9039,3,R,1,2,,,,,,,"Oculomotor Nuclear Complex, Right",,,,
9040,AM3,R,,,,,,,,,,"anterior median oculomotor nucleus, Right",,,
9041,CC3,R,,,,,,,,,,"caudal central oculomotor nucleus, Right",,,
9042,C3,R,,,,,,,,,,"central oculomotor nucleus, Right",,,
9043,D3,R,,,,,,,,,,"dorsal oculomotor nucleus, Right",,,
9044,I3,R,,,,,,,,,,"intermediate oculomotor nucleus, Right",,,
9045,M3,R,,,,,,,,,,"medial oculomotor nucleus, Right",,,
9046,V3,R,,,,,,,,,,"ventral oculomotor nucleus, Right",,,
9050,PPd,,,,,,,,,peripeduncular nucleus,,,,,
9051,PPd,L,,,,,,,,,"peripeduncular nucleus, Left",,,,
9052,PPd,R,,,,,,,,,"peripeduncular nucleus, Right",,,,
9053,RN,,,,,,,,,Red Nucleus,,,,,
9054,RN,L,3,3,x,,,,,,"Red Nucleus, Left",,,,
9055,RMC,L,,,,,,,,,,"magnocellular part of red nucleus, Left",,,
9056,RPC,L,,,,,,,,,,"parvocellular part of red nucleus, Left",,,
9057,RN,R,2,3,,,,,,,"Red Nucleus, Right",,,,
9058,RMC,R,,,,,,,,,,"magnocellular part of red nucleus, Right",,,
9059,RPC,R,,,,,,,,,,"parvocellular part of red nucleus, Right",,,
9060,RI,,,,,,,,,rostral interstitial nucleus of medial longitudinal fasciculus,,,,,
9061,RI,L,,,,,,,,,"rostral interstitial nucleus of medial longitudinal fasciculus, Left",,,,
9062,RI,R,,,,,,,,,"rostral interstitial nucleus of medial longitudinal fasciculus, Right",,,,
9072,SN,,,,,,,,,Substantia Nigra,,,,,
9073,SN,L,,,,,,,,,"Substantia Nigra, Left",,,,
9074,SNC,L,4,4,x,,,,,,,"Substantia Nigra, pars compacta, Left",,,
9075,SNR,L,2,3,x,,,,,,,"Substantia Nigra, pars reticulata, Left",,,
9076,SN,R,,,,,,,,,"Substantia Nigra, Right",,,,
9077,SNC,R,3,4,,,,,,,,"Substantia Nigra, pars compacta, Right",,,
9078,SNR,R,2,6,,,,,,,,"Substantia Nigra, pars reticulata, Right",,,
9063,4,,,,x,,,,,trochlear nucleus,,,,,
9064,4,L,1,2,,,,,,,"trochlear nucleus, Left",,,,
9065,4,R,1,2,,,,,,,"trochlear nucleus, Right",,,,
9066,VTA,,,,x,,,,,ventral tegmental area,,,,,
9067,VTA,L,3,2,,,,,,,"ventral tegmental area, Left",,,,
9470,CLN,L,,,,,,,,,,"caudal linear nucleus, Left",,,
9472,IF,L,,,,,,,,,,"interfascicular nucleus, Left",,,
9473,PBP,L,,,,,,,,,,"parabrachial pigmented nucleus, Left",,,
9474,PN,L,,,,,,,,,,"paranigral nucleus, Left",,,
9471,RL,L,,,,,,,,,,"rostral linear nucleus, Left",,,
9068,VTA,R,2,1,,,,,,,"ventral tegmental area, Right",,,,
9475,CLN,R,,,,,,,,,,"caudal linear nucleus, Right",,,
9477,IF,R,,,,,,,,,,"interfascicular nucleus, Right",,,
9478,PBP,R,,,,,,,,,,"parabrachial pigmented nucleus, Right",,,
9479,PN,R,,,,,,,,,,"paranigral nucleus, Right",,,
9476,RL,R,,,,,,,,,,"rostral linear nucleus, Right",,,
9069,VTg,,,,,,,,,ventral tegmental nucleus,,,,,
9070,VTg,L,,,,,,,,,"ventral tegmental nucleus, Left",,,,
9071,VTg,R,,,,,,,,,"ventral tegmental nucleus, Right",,,,
9079,PTec,,2,1,at least n=1 per structure both brains,,,,Pretectal Region,,,,,,
9080,OT,,,,,,,,,nucleus of optic tract,,,,,
9081,OT,L,,,,,,,,,"nucleus of optic tract, Left",,,,
9082,OT,R,,,,,,,,,"nucleus of optic tract, Right",,,,
9083,PTA,,,,,,,,,nucleus of pretectal area,,,,,
9084,PTA,L,,,,,,,,,"nucleus of pretectal area, Left",,,,
9085,PTA,R,,,,,,,,,"nucleus of pretectal area, Right",,,,
9086,OPt,,,,,,,,,olivary pretectal nucleus,,,,,
9087,OPt,L,,,,,,,,,"olivary pretectal nucleus, Left",,,,
9088,OPt,R,,,,,,,,,"olivary pretectal nucleus, Right",,,,
9089,PPt,,,,,,,,,principal pretectal nucleus,,,,,
9090,PPt,L,,,,,,,,,"principal pretectal nucleus, Left",,,,
9091,PPt,R,,,,,,,,,"principal pretectal nucleus, Right",,,,
9092,SLn,,,,,,,,,sublentiform nucleus,,,,,
9093,SLn,L,,,,,,,,,"sublentiform nucleus, Left",,,,
9094,SLn,R,,,,,,,,,"sublentiform nucleus, Right",,,,
4833,Met,,,,,,,Metencephalon,,,,,,,
4696,Cb,,,,,,,,Cerebellum,,,,,,
4697,CbCx,,,,,,,,,Cerebellar Cortex,,,,,
4698,Ve,,,,,,,,,,Vermis,,,,
4699,ALVCb,,,,,,,,,,,Anterior Lobe of the Vermis,,,
4700,Ve-I-II,,1,,,,,,,,,,I-II,,
4701,Ve-III,,2,2,x,,,,,,,,III,,
4702,Ve-IV,,1,2,at least n=1 per structure both brains,,,,,,,,IV,,
4703,Ve-V,,1,2,at least n=1 per structure both brains,,,,,,,,V,,
4704,PLVCb,,,,,,,,,,,Posterior Lobe of the Vermis,,,
4705,Ve-VI,,1,2,at least n=1 per structure both brains,,,,,,,,VI,,
4706,Ve-VIIAf,,1,,,,,,,,,,VIIAf,,
4707,Ve-VIIAt,,1,2,at least n=1 per structure both brains,,,,,,,,VIIAt,,
4708,Ve-VIIB,,1,2,at least n=1 per structure both brains,,,,,,,,VIIB,,
4709,Ve-VIIIA,,1,2,at least n=1 per structure both brains,,,,,,,,VIIIA,,
4710,Ve-VIIIB,,1,2,at least n=1 per structure both brains,,,,,,,,VIIIB,,
4711,Ve-IX,,1,2,at least n=1 per structure both brains,,,,,,,,IX,,
4712,FNL,,,,,,,,,,,Flocculonodular Lobe of the Vermis,,,
4713,Ve-X,,,1,,,,,,,,,X,,
12930,CbH,,,,,,,,,,Cerebellar Hemispheres,,,,
12931,Cb-AL,,,,,,,,,,,Anterior Lobe,,,
12932,Cb-I-II,,,,,,,,,,,,I-II,,
4717,PV-I-II,L,,,,,,,,,,,,"I-II, Left Paravermis",
4733,He-I-II,L,,,,,,,,,,,,"I-II, Left Lateral Hemisphere",
4750,PV-I-II,R,,,,,,,,,,,,"I-II, Right Paravermis",
4766,He-I-II,R,,,,,,,,,,,,"I-II, Right Lateral Hemisphere",
12933,Cb-III,,,,,,,,,,,,III,,
4718,PV-III,L,1,,,,,,,,,,,"III, Left Paravermis",
4734,He-III,L,,,,,,,,,,,,"III, Left Lateral Hemisphere",
4751,PV-III,R,1,,,,,,,,,,,"III, Right Paravermis",
4767,He-III,R,,,,,,,,,,,,"III, Right Lateral Hemisphere",
12934,Cb-IV,,,,,,,,,,,,IV,,
4719,PV-IV,L,1,2,x,,,,,,,,,"IV, Left Paravermis",
4735,He-IV,L,,,,,,,,,,,,"IV, Left Lateral Hemisphere",
4752,PV-IV,R,1,,,,,,,,,,,"IV, Right Paravermis",
4768,He-IV,R,,,,,,,,,,,,"IV, Right Lateral Hemisphere",
12935,Cb-V,,,,,,,,,,,,V,,
4720,PV-V,L,1,2,x,,,,,,,,,"V, Left Paravermis",
4736,He-V,L,,,,,,,,,,,,"V, Left Lateral Hemisphere",
4753,PV-V,R,1,2,,,,,,,,,,"V, Right Paravermis",
4769,He-V,R,,,,,,,,,,,,"V, Right Lateral Hemisphere",
12936,Cb-PL,,,,,,,,,,,Posterior Lobe,,,
12937,Cb-VI,,,,,,,,,,,,VI,,
4722,PV-VI,L,1,2,x,,,,,,,,,"VI, Left Paravermis",
4738,He-VI,L,1,2,x,,,,,,,,,"VI, Left Lateral Hemisphere",
4755,PV-VI,R,1,2,,,,,,,,,,"VI, Right Paravermis",
4771,He-VI,R,1,2,,,,,,,,,,"VI, Right Lateral Hemisphere",
12938,Cb-Crus I,,,,,,,,,,,,Crus I,,
4723,PV-Crus I,L,1,2,x,,,,,,,,,"Crus I, Left Paravermis",
4739,He-Crus I,L,1,2,x,,,,,,,,,"Crus I, Left Lateral Hemisphere",
4756,PV-Crus I,R,1,2,,,,,,,,,,"Crus I, Right Paravermis",
4772,He-Crus I,R,1,4,,,,,,,,,,"Crus I, Right Lateral Hemisphere",
12939,Cb-Crus II,,,,,,,,,,,,Crus II,,
4724,PV-Crus II,L,1,2,x,,,,,,,,,"Crus II, Left Paravermis",
4740,He-Crus II,L,1,4,x,,,,,,,,,"Crus II, Left Lateral Hemisphere",
4757,PV-Crus II,R,1,,,,,,,,,,,"Crus II, Right Paravermis",
4773,He-Crus II,R,1,4,,,,,,,,,,"Crus II, Right Lateral Hemisphere",
12940,Cb-VIIB,,,,,,,,,,,,VIIB,,
4725,PV-VIIB,L,1,2,x,,,,,,,,,"VIIB, Left Paravermis",
4741,He-VIIB,L,1,1,x,,,,,,,,,"VIIB, Left Lateral Hemisphere",
4758,PV-VIIB,R,1,2,,,,,,,,,,"VIIB, Right Paravermis",
4774,He-VIIB,R,1,2,,,,,,,,,,"VIIB, Right Lateral Hemisphere",
12941,Cb-VIIIA,,,,,,,,,,,,VIIIA,,
4726,PV-VIIIA,L,1,2,x,,,,,,,,,"VIIIA, Left Paravermis",
4742,He-VIIIA,L,,2,at least n=1 per structure both brains,,,,,,,,,"VIIIA, Left Lateral Hemisphere",
4759,PV-VIIIA,R,1,2,,,,,,,,,,"VIIIA, Right Paravermis",
4775,He-VIIIA,R,1,,,,,,,,,,,"VIIIA, Right Lateral Hemisphere",
12942,Cb-VIIIB,,,,,,,,,,,,VIIIB,,
4727,PV-VIIIB,L,1,1,x,,,,,,,,,"VIIIB, Left Paravermis",
4743,He-VIIIB,L,,,,,,,,,,,,"VIIIB, Left Lateral Hemisphere",
4760,PV-VIIIB,R,1,2,,,,,,,,,,"VIIIB, Right Paravermis",
4776,He-VIIIB,R,,,,,,,,,,,,"VIIIB, Right Lateral Hemisphere",
12943,Cb-IX,,,,,,,,,,,,IX,,
4728,PV-IX,L,1,2,x,,,,,,,,,"IX, Left Paravermis",
4744,He-IX,L,,,,,,,,,,,,"IX, Left Lateral Hemisphere",
4761,PV-IX,R,1,2,,,,,,,,,,"IX, Right Paravermis",
4777,He-IX,R,,,,,,,,,,,,"IX, Right Lateral Hemisphere",
12944,Cb-FNL,,,,,,,,,,,Flocculonodular Lobe,,,
12945,Cb-X,,,,,,,,,,,,X,,
4730,PV-X,L,,,,,,,,,,,,"X, Left Paravermis",
4746,He-X,L,,,,,,,,,,,,"X, Left Lateral Hemisphere",
4763,PV-X,R,,2,,,,,,,,,,"X, Right Paravermis",
4779,He-X,R,,,,,,,,,,,,"X, Right Lateral Hemisphere",
4780,CbN,,,,,,,,,Cerebellar Nuclei,,,,,
12946,Dt,,,,x,,,,,,Dentate Nucleus,,,,
4782,Dt,L,2,2,,,,,,,,"Dentate Nucleus, Left",,,
4787,Dt,R,3,2,,,,,,,,"Dentate Nucleus, Right",,,
12947,Emb,,,,at least n=1 per structure both brains,,,,,,Emboliform Nucleus,,,,
4783,Emb,L,1,1,,,,,,,,"Emboliform Nucleus, Left",,,
4788,Emb,R,1,,,,,,,,,"Emboliform Nucleus, Right",,,
12948,Fas,,,,at least n=1 per structure both brains,,,,,,Fastigial Nucleus,,,,
4784,Fas,L,1,1,,,,,,,,"Fastigial Nucleus, Left",,,
4789,Fas,R,2,,,,,,,,,"Fastigial Nucleus, Right",,,
12949,Glo,,,,at least n=1 per structure both brains,,,,,,Globose Nucleus,,,,
4785,Glo,L,1,1,,,,,,,,"Globose Nucleus, Left",,,
4790,Glo,R,1,,,,,,,,,"Globose Nucleus, Right",,,
9131,Pons,,,,,,,,Pons,,,,,,
9132,Bpons,,,,,,,,,Basal Part of Pons,,,,,
9133,Pn,,,,x,,,,,,pontine nuclei,,,,
9492,Pn,L,5,6,,,,,,,,"pontine nuclei, Left",,,
9493,Pn,R,7,6,,,,,,,,"pontine nuclei, Right",,,
9135,PTg,,,,,,,,,Pontine Tegmentum,,,,,
9136,6,,,,x,,,,,,abducens nucleus,,,,
9137,6,L,2,1,,,,,,,,"abducens nucleus, Left",,,
9138,6,R,2,1,,,,,,,,"abducens nucleus, Right",,,
9494,Acs7,,,,,,,,,,accessory facial nucleus,,,,
9495,Acs7,L,,,,,,,,,,"accessory facial nucleus, Left",,,
9496,Acs7,R,,,,,,,,,,"accessory facial nucleus, Right",,,
9497,Acs5,,,,,,,,,,accessory trigeminal nucleus,,,,
9498,Acs5,L,,,,,,,,,,"accessory trigeminal nucleus, Left",,,
9499,Acs5,R,,,,,,,,,,"accessory trigeminal nucleus, Right",,,
10147,CGPo,,,,,,,,,,central grey of the Pons,,,,
10148,CGPo,L,,1,,,,,,,,"central grey of the pons, Left",,,
10149,CGPo,R,,1,,,,,,,,"central grey of the pons, Right",,,
9139,DLL,,,,,,,,,,dorsal nucleus of lateral lemniscus,,,,
9140,DLL,L,,,,,,,,,,"dorsal nucleus of lateral lemniscus, Left",,,
9141,DLL,R,,,,,,,,,,"dorsal nucleus of lateral lemniscus, Right",,,
9142,7,,,,x,,,,,,facial motor nucleus,,,,
9143,7,L,2,2,,,,,,,,"facial motor nucleus, Left",,,
